en	Category:Disambiguation pages
ksh	Saachjrupp:Woot met mieh wi ëijnem Senn
xmf	კატეგორია:მიარეშანულამი
bar	Kategorie:Begriffsklärung
sco	Category:Disambiguation pages
scn	Catigurìa:Disambigua
af	Kategorie:Dubbelsinnig
am	መደብ:መንታ መንገዶች
an	Categoría:Desambigación
cdo	分類:Disambig
ar	تصنيف:صفحات توضيح
az	Kateqoriya:Vikipediya:Dəqiqləşdirmə
ba	Категория:Күп төрлө төшөнсә
ceb	Kategoriya:Pagklaro
be	Катэгорыя:Неадназначнасці
bg	Категория:Пояснителни страници
bh	श्रेणी:बहुअर्थी पन्ना
myv	Категория:Авейкетькс
bn	বিষয়শ্রেণী:দ্ব্যর্থতা নিরসন পাতা
br	Rummad:Heñvelstummoù
bs	Kategorija:Čvor članci
zh-yue	Category:搞清楚版
map-bms	Kategori:Disambiguasi
ca	Categoria:Pàgines de desambiguació
ce	Категори:Дуккха маьӀн долу дешнаш
co	Categoria:Disambiguazione
cs	Kategorie:Wikipedie:Rozcestníky
cu	Катигорїꙗ:Мъногосъмꙑслиѥ
cv	Категори:Disambig
cy	Categori:Gwahaniaethu
da	Kategori:Flertydig
de	Kategorie:Begriffsklärung
diq	Kategori:Arezekerdış
dv	ޤިސްމު:Disambiguation
pap	Category:All article disambiguation pages
el	Κατηγορία:Αποσαφήνιση
eo	Kategorio:Apartigiloj
es	Categoría:Wikipedia:Desambiguación
et	Kategooria:Täpsustusleheküljed
eu	Kategoria:Wikipediako argipen orriak
hsb	Kategorija:Wjacezmyslnosć
fa	رده:صفحه‌های ابهام‌زدایی
fi	Luokka:Täsmennyssivut
eml	Categoria:Disambigua
fo	Bólkur:Fleiri týdningar
fr	Catégorie:Homonymie
fy	Kategory:Trochferwiisside
ga	Catagóir:Idirdhealáin
gd	Roinn-seòrsa:Soilleireachadh
gl	Categoría:Homónimos
gu	શ્રેણી:સંદિગ્ધ શીર્ષક વાળાં પાનાં
ckb	پۆل:پەڕەکانی ڕوونکردنەوە
he	קטגוריה:פירושונים
hi	श्रेणी:बहुविकल्पी शब्द
hr	Kategorija:Razdvojba
ht	Kategori:Menm non
hu	Kategória:Egyértelműsítő lapok
hy	Կատեգորիա:Բազմիմաստության փարատման էջեր
ia	Categoria:Pagina de disambiguation
id	Kategori:Disambiguasi
nap	Categurìa:Disambigua
ig	Òtù:Disambiguation
io	Kategorio:Homonimi
frr	Kategorie:Wikipedia:Muardüüdag artiikel
is	Flokkur:Aðgreiningarsíður
it	Categoria:Pagine di disambiguazione
ja	Category:曖昧さ回避
pfl	Sachgrubb:Begriffsklärung
jv	Kategori:Disambiguasi
ka	კატეგორია:მრავალმნიშვნელოვანი
wuu	Category:消歧义
kk	Санат:Айрық беттер
kn	ವರ್ಗ:ದ್ವಂದ್ವ ನಿವಾರಣೆ
ko	분류:동음이의어 문서
nds-nl	Kategorie:Wikipedie:Deurverwiespagina
ku	Kategorî:Rûpelên cudakirinê
kv	Категория:Уна вежӧртаса терминъяс
kw	Klass:Folennow klerheans
tpi	Grup:Ol pes bilong kliaim ol link
la	Categoria:Discretiva
lb	Kategorie:Homonymie
nds	Kategorie:Mehrdüdig Begreep
li	Categorie:Verdudelikingspazjena
fur	Categorie:Disambiguazion
ln	Catégorie:Bokokani
lt	Kategorija:Nuorodiniai straipsniai
lv	Kategorija:Nozīmju atdalīšana
mg	Sokajy:Pejy mitovy anarana
mi	Category:Tikanga maha
mk	Категорија:Страници за појаснување
ml	വർഗ്ഗം:വിവക്ഷകൾ
rmy	Shopni:Dudalipen
mn	Ангилал:Салаа утгатай үгс
ms	Kategori:Laman nyahkekaburan
mt	Kategorija:Diżambigwazzjoni
als	Kategorie:Begriffsklärung
my	Category:သံတူကြောင်းကွဲ
dsb	Kategorija:Wěcejwóznamowosći
ne	श्रेणी:बहुविकल्पी शब्द
nl	Categorie:Wikipedia:Doorverwijspagina
nn	Kategori:Fleirtydingssider
no	Kategori:Pekere
nv	Tʼááłáhági átʼéego:Ałtsʼáʼáztiin
oc	Categoria:Omonimia
ang	Flocc:Scīrung
os	Категори:Нысаниуджыты номхыгъдтæ
pl	Kategoria:Strony ujednoznaczniające
pt	Categoria:Desambiguação
lez	Категория:Гзаф манадин терминар
qu	Katiguriya:Wikipidiya:Sut'ichana qillqa
stq	Kategorie:Begriepskloorenge
mhr	Категорий:Шуко ончыктымаш-влак
rm	Categoria:Vichipedia:Paginas per sclerir noziuns
ro	Categorie:Dezambiguizare
ru	Категория:Многозначные термины
sc	Categoria:Pàginas disambìguas
sd	زمرو:سلجھائپ صفحا
se	Kategoriija:Presiserensiiddut
arc	ܣܕܪܐ:ܬܘܚܡܐ ܐܚܪܢܐ
sh	Kategorija:Razvrstavanje
sk	Kategória:Rozlišovacie stránky
sl	Kategorija:Razločitev
sq	Kategoria:Kthjellime
sr	Категорија:Вишезначна одредница
su	Kategori:Disambiguasi
sv	Kategori:Förgreningssidor
sw	Jamii:Makala zinazotofautisha maana
arz	تصنيف:صفحات توضيح
ta	பகுப்பு:பக்கவழி நெறிப்படுத்தல்
te	వర్గం:అయోమయ నివృత్తి
tg	Гурӯҳ:Ибҳомзудоӣ
th	หมวดหมู่:การแก้ความกำกวม
tl	Kategorya:Paglilinaw
to	Category:Ngaahi kupu fakaʻuhingakehe
tr	Kategori:Anlam ayrımı sayfaları
tt	Төркем:Күп мәгънәле мәкаләләр
rue	Катеґорія:Чеперушкы
uk	Категорія:Багатозначні терміни
zea	Categorie:Wikipedia:Deurverwiespagina
ur	زمرہ:ضد ابہام صفحات
haw	Māhele:Disambig
uz	Turkum:Koʻp maʼnoli atamalar
vi	Thể loại:Trang định hướng
vo	Klad:Telplänovapads
wa	Categoreye:Omonimeye
nov	Category:Desambiguatione
war	Kaarangay:Pansayod
cbk-zam	Categoría:Desambiguo
yi	קאַטעגאָריע:באדייטן
nrm	Category:Frouque
zh	Category:消歧义
zh-min-nan	Lūi-pia̍t:Khu-pia̍t-ia̍h
koi	Категория:Уна вежӧртаса терминнэз
simple	Category:Disambiguation
vec	Categoria:Dixanbigue
vep	Kategorii:Znamoičendad
ilo	Kategoria:Panangilawlawag a pampanid
zh-classical	Category:釋義
bat-smg	Kateguorėjė:Nūruodėnē straipsnē
udm	Категория:Трос пуштросъем терминъёс
be-x-old	Катэгорыя:Вікіпэдыя:Неадназначнасьці
