English	English	en
German	Deutsch	de
Spanish	español	es
French	français	fr
Japanese	日本語	ja
Russian	русский	ru
Italian	italiano	it
Portuguese	português	pt
Chinese	中文	zh
Polish	polski	pl
Dutch	Nederlands	nl
Arabic	العربية	ar
Persian	فارسی	fa
Turkish	Türkçe	tr
Korean	한국어	ko
Ukrainian	українська	uk
Hebrew	עברית	he
Swedish	svenska	sv
Indonesian	Bahasa Indonesia	id
Czech	čeština	cs
Finnish	suomi	fi
Hungarian	magyar	hu
Catalan	català	ca
Norwegian (Bokmål)	norsk bokmål	no
Vietnamese	Tiếng Việt	vi
Greek	Ελληνικά	el
Romanian	română	ro
Serbian	српски / srpski	sr
Thai	ไทย	th
Danish	dansk	da
Bulgarian	български	bg
Simple English	Simple English	simple
Bengali	বাংলা	bn
Azerbaijani	azərbaycanca	az
Armenian	Հայերեն	hy
Slovenian	slovenščina	sl
Slovak	slovenčina	sk
Estonian	eesti	et
Croatian	hrvatski	hr
Hindi	हिन्दी	hi
Esperanto	Esperanto	eo
Malay	Bahasa Melayu	ms
Lithuanian	lietuvių	lt
Basque	euskara	eu
Galician	galego	gl
Tamil	தமிழ்	ta
Georgian	ქართული	ka
Malayalam	മലയാളം	ml
Serbo-Croatian	srpskohrvatski / српскохрватски	sh
Belarusian	беларуская	be
Albanian	shqip	sq
Latvian	latviešu	lv
Cantonese	粵語	zh-yue
Kannada	ಕನ್ನಡ	kn
Norwegian (Nynorsk)	norsk nynorsk	nn
Latin	Latina	la
Urdu	اردو	ur
Macedonian	македонски	mk
Afrikaans	Afrikaans	af
Kazakh	қазақша	kk
Bosnian	bosanski	bs
Marathi	मराठी	mr
Belarusian (Taraškievica)	беларуская (тарашкевіца)‎	be-tarask
Telugu	తెలుగు	te
Icelandic	íslenska	is
Welsh	Cymraeg	cy
Scots	Scots	sco
Cebuano	Cebuano	ceb
Tagalog	Tagalog	tl
Nepali	नेपाली	ne
Uzbek	oʻzbekcha/ўзбекча	uz
Kurdish (Sorani)	کوردیی ناوەندی	ckb
Mongolian	монгол	mn
Occitan	occitan	oc
Asturian	asturianu	ast
Breton	brezhoneg	br
Egyptian Arabic	مصرى	arz
Punjabi	ਪੰਜਾਬੀ	pa
Waray	Winaray	war
Javanese	Basa Jawa	jv
Oriya	ଓଡ଼ିଆ	or
Burmese	မြန်မာဘာသာ	my
Tatar	татарча/tatarça	tt
Khmer	ភាសាខ្មែរ	km
Bashkir	башҡортса	ba
Alemannic	Alemannisch	als
